Team 1,Team 2,Winner,Margin,Ground,Match Date
West Indies,England,England,4 wickets,North Sound,05-03-2017
West Indies,England,England,186 runs,Bridgetown,09-03-2017
Afghanistan,Ireland,Afghanistan,30 runs,Greater Noida,15-03-2017
Afghanistan,Ireland,Afghanistan,34 runs,Greater Noida,17-03-2017
Afghanistan,Ireland,Ireland,6 wickets,Greater Noida,19-03-2017
Afghanistan,Ireland,Ireland,3 wickets,Greater Noida,22-03-2017
Afghanistan,Ireland,Afghanistan,7 wickets,Greater Noida,24-03-2017
Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla,25-03-2017
Sri Lanka,Bangladesh,no result,-,Dambulla,28-03-2017
U.A.E.,P.N.G.,U.A.E.,82 runs,Abu Dhabi,31-03-2017
Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (SSC),01-04-2017
U.A.E.,P.N.G.,P.N.G.,26 runs,Abu Dhabi,02-04-2017
U.A.E.,P.N.G.,U.A.E.,103 runs,Abu Dhabi,04-04-2017
West Indies,Pakistan,West Indies,4 wickets,Providence,07-04-2017
West Indies,Pakistan,Pakistan,74 runs,Providence,09-04-2017
West Indies,Pakistan,Pakistan,6 wickets,Providence,11-04-2017
England,Ireland,England,7 wickets,Bristol,05-05-2017
England,Ireland,England,85 runs,Lord's,07-05-2017
Ireland,Bangladesh,no result,-,Dublin (Malahide),12-05-2017
Ireland,New Zealand,New Zealand,51 runs,Dublin (Malahide),14-05-2017
Bangladesh,New Zealand,New Zealand,4 wickets,Dublin,17-05-2017
Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide),19-05-2017
Ireland,New Zealand,New Zealand,190 runs,Dublin (Malahide),21-05-2017
Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin,24-05-2017
England,South Africa,England,72 runs,Leeds,24-05-2017
England,South Africa,England,2 runs,Southampton,27-05-2017
England,South Africa,South Africa,7 wickets,Lord's,29-05-2017
England,Bangladesh,England,8 wickets,The Oval,01-06-2017
Australia,New Zealand,no result,-,Birmingham,02-06-2017
South Africa,Sri Lanka,South Africa,96 runs,The Oval,03-06-2017
India,Pakistan,India,124 runs,Birmingham,04-06-2017
Australia,Bangladesh,no result,-,The Oval,05-06-2017
England,New Zealand,England,87 runs,Cardiff,06-06-2017
Pakistan,South Africa,Pakistan,19 runs,Birmingham,07-06-2017
India,Sri Lanka,Sri Lanka,7 wickets,The Oval,08-06-2017
Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff,09-06-2017
West Indies,Afghanistan,Afghanistan,63 runs,Gros Islet,09-06-2017
England,Australia,England,40 runs,Birmingham,10-06-2017
India,South Africa,India,8 wickets,The Oval,11-06-2017
West Indies,Afghanistan,West Indies,4 wickets,Gros Islet,11-06-2017
Pakistan,Sri Lanka,Pakistan,3 wickets,Cardiff,12-06-2017
England,Pakistan,Pakistan,8 wickets,Cardiff,14-06-2017
West Indies,Afghanistan,no result,-,Gros Islet,14-06-2017
Bangladesh,India,India,9 wickets,Birmingham,15-06-2017
Scotland,Zimbabwe,Scotland,26 runs,Edinburgh,15-06-2017
Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh,17-06-2017
India,Pakistan,Pakistan,180 runs,The Oval,18-06-2017
West Indies,India,no result,-,Port of Spain,23-06-2017
West Indies,India,India,105 runs,Port of Spain,25-06-2017
Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle,30-06-2017
West Indies,India,India,93 runs,North Sound,30-06-2017
Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle,02-07-2017
West Indies,India,West Indies,11 runs,North Sound,02-07-2017
Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Hambantota,06-07-2017
West Indies,India,India,8 wickets,Kingston,06-07-2017
Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Hambantota,08-07-2017
Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Hambantota,10-07-2017
Sri Lanka,India,India,9 wickets,Dambulla,20-08-2017
Sri Lanka,India,India,3 wickets,Pallekele,24-08-2017
Sri Lanka,India,India,6 wickets,Pallekele,27-08-2017
Sri Lanka,India,India,168 runs,Colombo (RPS),31-08-2017
Sri Lanka,India,India,6 wickets,Colombo (RPS),03-09-2017
India,Australia,India,26 runs,Chennai,17-09-2017
England,West Indies,England,7 wickets,Manchester,19-09-2017
India,Australia,India,50 runs,Eden Gardens,21-09-2017
England,West Indies,no result,-,Nottingham,21-09-2017
India,Australia,India,5 wickets,Indore,24-09-2017
England,West Indies,England,124 runs,Bristol,24-09-2017
England,West Indies,England,6 runs,The Oval,27-09-2017
India,Australia,Australia,21 runs,Bengaluru,28-09-2017
England,West Indies,England,9 wickets,Southampton,29-09-2017
India,Australia,India,7 wickets,Nagpur,01-10-2017
P.N.G.,Scotland,Scotland,101 runs,Port Moresby,06-10-2017
P.N.G.,Scotland,P.N.G.,5 wickets,Port Moresby,08-10-2017
Pakistan,Sri Lanka,Pakistan,83 runs,Dubai (DSC),13-10-2017
South Africa,Bangladesh,South Africa,10 wickets,Kimberley,15-10-2017
Pakistan,Sri Lanka,Pakistan,32 runs,Abu Dhabi,16-10-2017
South Africa,Bangladesh,South Africa,104 runs,Paarl,18-10-2017
Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,18-10-2017
Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,20-10-2017
India,New Zealand,New Zealand,6 wickets,Wankhede,22-10-2017
South Africa,Bangladesh,South Africa,200 runs,East London,22-10-2017
Pakistan,Sri Lanka,Pakistan,9 wickets,Sharjah,23-10-2017
India,New Zealand,India,6 wickets,Pune,25-10-2017
India,New Zealand,India,6 runs,Kanpur,29-10-2017
P.N.G.,Scotland,Scotland,6 wickets,Dubai (DSC),24-11-2017
P.N.G.,Scotland,Scotland,4 wickets,Dubai (DSC),25-11-2017
Afghanistan,Ireland,Afghanistan,138 runs,Sharjah,05-12-2017
Hong Kong,P.N.G.,Hong Kong,23 runs,ICCA Dubai,06-12-2017
Afghanistan,Ireland,Ireland,51 runs,Sharjah,07-12-2017
Hong Kong,P.N.G.,Hong Kong,93 runs,ICCA Dubai,08-12-2017
